name	x	y
Trichoderma virens Gv29-8	39.023	15530.154
Nectria haematococca mpVI 77-13-4	51.286	13271.68
Scedosporium apiospermum	43.437	15965.9
Gaeumannomyces tritici R3-111a-1	43.769	19316.148
Magnaporthe oryzae 70-15	40.979	15952.856
Sporothrix schenckii 1099-18	32.375	18005.997
Grosmannia clavigera kw1407	29.794	15663.385
Podospora anserina S mat+	34.719	17091.789
Chaetomium thermophilum var. thermophilum DSM 1495	28.323	16018.54
Thielavia terrestris NRRL 8126	36.912	19164.177
Neurospora crassa OR74A	41.102	24106.561
Neurospora tetrasperma FGSC 2508	39.146	21538.288
Chaetomium globosum CBS 148.51	34.887	16466.134
Sordaria macrospora	39.955	19832.578
Thermothelomyces thermophila ATCC 42464	38.744	21734.057
Phaeoacremonium minimum UCRPA7	47.465	11456.333
Pestalotiopsis fici W106-1	51.911	13247.301
Eutypa lata UCREL1	54.006	22371.793
Xylona heveae TC161	24.338	14412.376
Tetrapisispora phaffii CBS 4417	12.115	15801.229
Naumovozyma castellii CBS 4309	11.22	14575.643
Babjeviella inositovora NRRL Y-12698	15.221	8011.865
Sugiyamaella lignohabitans	15.938	13440.929
Saccharomyces eubayanus	11.734	14786.215
Ascoidea rubescens DSM 1968	17.504	33025.369
Debaryomyces fabryi	11.701	10750.008
Candida tropicalis MYA-3404	14.63	31656.637
Clavispora lusitaniae ATCC 42720	12.115	10007.435
[Candida] auris	12.499	12555.002
Pichia membranifaciens NRRL Y-2026	11.582	15183.709
Torulaspora delbrueckii	9.221	7532.309
Komagataella phaffii GS115	9.216	8106.547
Yarrowia lipolytica CLIB122	20.551	15462.926
Meyerozyma guilliermondii ATCC 6260	10.61	8275.813
Debaryomyces hansenii CBS767	12.182	10648.379
Candida dubliniensis CD36	14.618	45372.134
Lodderomyces elongisporus NRRL YB-4239	15.547	48817.953
Tetrapisispora blattae CBS 6284	14.049	23793.984
Eremothecium sinecaudum	8.923	8710.205
Eremothecium gossypii ATCC 10895	9.119	8977.103
Wickerhamomyces ciferrii	15.901	20706.676
Ogataea parapolymorpha DL-1	8.875	7781.093
Candida tanzawaensis NRRL Y-17324	13.136	9644.339
Candida orthopsilosis	12.659	14614.752
Candida albicans SC5314	14.283	32644.256
Kazachstania africana CBS 2517	11.13	11799.223
Lachancea thermotolerans CBS 6340	10.393	7568.656
Kluyveromyces lactis	10.729	12420.677
Eremothecium cymbalariae DBVPG#7215	9.669	13204.613
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	16.055	9351.174
Spathaspora passalidarum NRRL Y-27907	13.182	16653.114
Hyphopichia burtonii NRRL Y-1933	12.403	19607.018
[Candida] tenuis ATCC 10573	10.747	9593.144
Scheffersomyces stipitis CBS 6054	15.441	10422.391
Zygosaccharomyces rouxii	9.765	15285.466
Cyberlindnera jadinii NRRL Y-1542	13.018	11205.128
Naumovozyma dairenensis CBS 421	13.528	22710.566
Saccharomyces cerevisiae S288C	12.157	13759.773
[Candida] glabrata	12.338	12515.087
Wickerhamomyces anomalus NRRL Y-366-8	14.146	15138.525
Ogataea polymorpha	8.974	7500.916
Vanderwaltozyma polyspora DSM 70294	14.675	26756.998
Saitoella complicata NRRL Y-17804	14.136	14803.073
Pneumocystis murina B123	7.501	16258.289
Pneumocystis jirovecii RU7	8.396	16048.731
Pneumocystis carinii B80	7.661	18252.666
Schizosaccharomyces japonicus yFS275	11.733	9845.69
Schizosaccharomyces pombe	12.591	12071.954
Schizosaccharomyces cryophilus OY26	11.555	12506.097
Schizosaccharomyces octosporus yFS286	11.634	13865.776
Agaricus bisporus var. bisporus H97	30.234	10818.905
Laccaria bicolor S238N-H82	64.877	11225.488
Agaricus bisporus var. burnettii JB137-S8	32.614	10404.578
Moniliophthora roreri MCA 2997	52.205	10016.824
Schizophyllum commune H4-8	38.482	11005.658
Coprinopsis cinerea okayama7#130	36.193	12065.923
Serpula lacrymans var. lacrymans S7.9	42.797	10390.461
Coniophora puteana RWD-64-598 SS2	42.969	11399.548
Auricularia subglabra TFB-10046 SS5	74.92	10752.334
Punctularia strigosozonata HHB-11173 SS5	34.172	10734.843
Gloeophyllum trabeum ATCC 11539	37.178	8821.965
Fomitiporia mediterranea MF3/22	63.354	10861.01
Postia placenta Mad-698-R	90.892	7191.997
Dichomitus squalens LYAD-421 SS1	42.748	9349.536
Fibroporia radiculosa	28.378	8840.85
Phanerochaete carnosa HHB-10118-sp	46.293	8622.928
Trametes versicolor FP-101664 SS1	44.794	10757.912
Stereum hirsutum FP-91666 SS1	46.512	14442.992
Heterobasidion irregulare TC 32-1	33.65	15174.577
Kwoniella pini CBS 10737	20.829	15880.148
Kwoniella mangroviensis CBS 8507	22.655	16652.842
Tsuchiyaea wingfieldii CBS 7118	19.97	14361.987
Tremella mesenterica DSM 1558	28.64	13639.913
Cryptococcus neoformans var. neoformans B-3501A	19.7	10990.832
Kwoniella dejecticola CBS 10117	23.862	17723.202
Cryptococcus neoformans var. grubii H99	18.916	12233.169
Cryptococcus amylolentus CBS 6039	20.255	13757.297
Cryptococcus gattii WM276	18.375	12102.525
Kwoniella bestiolae CBS 10118	24.361	17233.978
Cryptococcus neoformans var. neoformans JEC21	19.052	11774.98
Cutaneotrichosporon oleaginosus	19.836	19928.151
Trichosporon asahii var. asahii CBS 2479	24.54	14711.101
Wallemia ichthyophaga EXF-994	9.656	13852.848
Wallemia mellicola CBS 633.66	9.816	10078.868
Rhodotorula graminis WP1	21.014	39532.03
Rhodotorula toruloides NP11	20.224	16520.716
Mixia osmundae IAM 14324	13.634	8759.258
Puccinia graminis f. sp. tritici CRL 75-36-700-3	88.724	16234.524
Melampsora larici-populina 98AG31	101.129	13349.935
Tilletiaria anomala UBC 951	18.704	13537.846
Malassezia sympodialis ATCC 42132	7.67	11017.265
Malassezia pachydermatis	8.151	10221.764
Malassezia globosa CBS 7966	8.958	10711.96
Ustilago maydis 521	19.664	15499.262
Pseudozyma hubeiensis SY62	18.443	13860.753
Kalmanozyma brasiliensis GHG001	17.325	13500
Anthracocystis flocculosa PF-1	23.305	39736.318
Moesziomyces antarcticus	18.112	19149.165
Encephalitozoon romaleae SJ-2008	2.188	6768.62
Encephalitozoon intestinalis ATCC 50506	2.217	7190.678
Nosema ceranae BRL01	7.86	16077.033
Vittaforma corneae ATCC 50505	3.214	7093.165
Encephalitozoon cuniculi GB-M1	2.498	6896.844
Enterocytozoon bieneusi H348	3.861	16523.266
Encephalitozoon hellem ATCC 50504	2.252	7083.273
Nematocida parisii ERTm1	4.071	13375.92
Ordospora colligata OC4	2.291	8462.678
Mitosporidium daphniae	5.637	9212.414
Vavraia culicis subsp. floridensis	6.119	6240.389
Priapulus caudatus	511.738	61001.967
Brugia malayi	93.659	29876.505
Loa loa	91.366	29626.119
Caenorhabditis briggsae	108.479	12419.352
Caenorhabditis elegans	100.286	14850.847
Caenorhabditis remanei	145.443	12097.008
Necator americanus	244.075	10343.306
Trichinella spiralis	63.525	25198.227
Acyrthosiphon pisum	541.692	27003.312
Diuraphis noxia	395.074	22847.668
Bemisia tabaci	615.017	13904.783
Diaphorina citri	485.705	34849.298
Cimex lectularius	650.478	16688.685
Halyomorpha halys	1150.109	20515.693
Pediculus humanus corporis	110.781	154733.21
Galendromus occidentalis	151.724	9781.201
Aedes aegypti	1383.974	11384.055
Aedes albopictus	2247.306	17077.169
Anopheles gambiae str. PEST	265.027	26016.345
Culex quinquefasciatus	579.042	17540.522
Bactrocera cucurbitae	374.82	21518.149
Bactrocera dorsalis	414.985	15526.393
Bactrocera latifrons	462.505	19460.676
Bactrocera oleae	471.78	18762.873
Rhagoletis zephyria	1113.963	22310.211
Ceratitis capitata	479.048	32054.636
Drosophila ananassae	230.993	21168.757
Drosophila bipectinata	167.264	24023.466
Drosophila biarmipes	169.379	20127.932
Drosophila suzukii	232.923	18179.159
Drosophila takahashii	182.107	23944.404
Drosophila eugracilis	156.942	26332.65
Drosophila elegans	171.268	25246.709
Drosophila rhopaloa	197.376	20650.531
Drosophila erecta	152.712	22516.776
Drosophila yakuba	165.71	23591.538
Drosophila melanogaster	143.726	25816.379
Drosophila sechellia	166.592	21844.944
Drosophila simulans	124.964	24709.129
Drosophila ficusphila	152.439	24743.309
Drosophila kikkawai	164.293	29532.089
Drosophila miranda	136.729	43967.978
Drosophila persimilis	188.374	35380.282
Drosophila pseudoobscura pseudoobscura	152.696	41459.135
Drosophila willistoni	235.516	36276.548
Drosophila arizonae	141.387	52348.175
Drosophila mojavensis	193.826	49352.923
Drosophila navojoa	115.886	58589.19
Drosophila virilis	206.027	36327.622
Drosophila grimshawi	200.468	39839.192
Drosophila busckii	135.749	50151.406
Musca domestica	750.404	19519.079
Stomoxys calcitrans	971.189	13853.559
Bombyx mori	481.819	16915.979
Papilio machaon	278.436	16926.218
Papilio xuthus	243.89	16427.034
Papilio polytes	227.021	15621.047
Amyelois transitella	406.468	18310.737
Plutella xylostella	393.471	18505.72
Dendroctonus ponderosae	252.848	8266.607
Aethina tumida	234.344	23835.921
Anoplophora glabripennis	707.728	12425.644
Tribolium castaneum	165.944	14661.795
Agrilus planipennis	353.563	11223.992
Nicrophorus vespilloides	195.273	22770.799
Apis cerana	228.332	30957.955
Apis mellifera	250.287	38762.601
Apis dorsata	230.34	39114.428
Apis florea	230.485	38255.929
Eufriesea mexicana	596.278	19789.536
Bombus impatiens	249.185	17334.222
Bombus terrestris	248.654	14964.474
Ceratina calcarata	199.937	12851.256
Habropoda laboriosa	296.955	15570.713
Dufourea novaeangliae	279.506	13115.229
Atta cephalotes	317.672	26115.772
Atta colombica	291.258	24665.677
Acromyrmex echinatior	295.945	22221.578
Trachymyrmex cornetzi	369.438	18248.374
Trachymyrmex septentrionalis	291.747	23577.526
Trachymyrmex zeteki	267.973	19448.971
Cyphomyrmex costatus	300.317	20971.617
Vollenhovia emeryi	287.901	16638.052
Wasmannia auropunctata	324.12	21381.213
Pogonomyrmex barbatus	235.646	28271.043
Monomorium pharaonis	257.977	25287.242
Solenopsis invicta	396.025	19793.345
Dinoponera quadriceps	259.666	23751.782
Harpegnathos saltator	294.466	40496.778
Camponotus floridanus	232.685	23810.744
Cerapachys biroi	212.826	17332.135
Linepithema humile	219.501	18726.054
Pseudomyrmex gracilis	282.776	28170.554
Polistes canadensis	211.202	56373.695
Polistes dominula	208.026	67790.757
Ceratosolen solmsi marchali	277.059	48103.363
Copidosoma floridanum	555.045	19114.82
Nasonia vitripennis	295.781	22805.903
Trichogramma pretiosum	195.088	27567.935
Microplitis demolitor	241.19	32716.609
Diachasma alloeum	388.753	12346.897
Fopius arisanus	153.632	12294.722
Cephus cinctus	162.246	19382.112
Orussus abietinus	201.22	11019.781
Neodiprion lecontei	239.677	21262.499
Athalia rosae	163.838	28955.982
Megachile rotundata	272.661	12727.832
Lingula anatina	425.495	23285.77
Lottia gigantea	359.506	12459.976
Aplysia californica	927.31	49689.833
Biomphalaria glabrata	916.388	29483.765
Crassostrea gigas	557.736	15751.623
Octopus bimaculoides	2338.189	64522.168
Callorhinchus milii	974.499	21172.673
Rhincodon typus	2931.6	10558.082
Clupea harengus	807.712	66999.815
Cyprinus carpio	1713.658	31892.962
Sinocyclocheilus anshuiensis	1632.718	28128.713
Sinocyclocheilus grahami	1750.288	26854.598
Sinocyclocheilus rhinocerous	1655.786	26883.554
Danio rerio	1371.719	42341.717
Ictalurus punctatus	783.275	42293.3
Pygocentrus nattereri	1285.352	33364.119
Branchiostoma belcheri	426.124	18601.144
Branchiostoma floridae	521.895	15276.322
Astyanax mexicanus	1191.243	25838.068
Cyprinodon variegatus	1035.184	17451.336
Fundulus heteroclitus	1021.899	20569.727
Poecilia mexicana	801.711	19801.253
Poecilia reticulata	731.622	20518.581
Poecilia formosa	748.923	22031.199
Poecilia latipinna	815.145	20826.583
Xiphophorus maculatus	729.664	18148.499
Nothobranchius furzeri	1242.518	19902.929
Austrofundulus limnaeus	866.963	20854.951
Kryptolebias marmoratus	680.367	21536.625
Oryzias latipes	869.818	14830.623
Haplochromis burtoni	831.412	17712.493
Maylandia zebra	859.842	20609.781
Pundamilia nyererei	830.133	17463.902
Neolamprologus brichardi	847.91	16285.356
Oreochromis niloticus	1009.857	21938.044
Stegastes partitus	800.492	21528.033
Labrus bergylta	805.481	33833.945
Larimichthys crocea	678.938	29882.818
Takifugu rubripes	391.485	24115.532
Notothenia coriiceps	636.614	28299.122
Lates calcarifer	668.481	26630.045
Monopterus albus	684.144	16839.131
Hippocampus comes	493.776	29836.559
Esox lucius	904.497	17713.245
Oncorhynchus kisutch	2369.932	28456.837
Salmo salar	2966.89	25969.575
Scleropages formosus	777.359	22054.513
Lepisosteus oculatus	945.878	12491.21
Latimeria chalumnae	2860.592	21746.378
Cynoglossus semilaevis	470.199	32936.499
Paralichthys olivaceus	643.912	20646.296
Alligator mississippiensis	2161.73	14494.635
Alligator sinensis	2270.568	14435.609
Crocodylus porosus	2049.536	12897.301
Gavialis gangeticus	2640.792	10532.02
Chelonia mydas	2208.41	12121.316
Chrysemys picta bellii	2365.767	12670.067
Pelodiscus sinensis	2202.484	12058.839
Anolis carolinensis	1799.144	22179.252
Protobothrops mucrosquamatus	1673.876	32555.117
Thamnophis sirtalis	1424.898	22251.789
Python bivittatus	1435.052	22161.878
Gekko japonicus	2490.274	17705.939
Acanthisitta chloris	1035.876	11570.06
Corvus brachyrhynchos	1091.313	12700.317
Corvus cornix cornix	1042.281	12720.831
Ficedula albicollis	1118.344	61554.619
Sturnus vulgaris	1036.756	15134.966
Parus major	1020.311	14485.566
Pseudopodoces humilis	1042.998	15410.96
Geospiza fortis	1065.292	14325.595
Zonotrichia albicollis	1052.601	14337.542
Serinus canaria	1152.1	16079.659
Taeniopygia guttata	1232.136	15160.161
Lepidothrix coronata	1079.577	13322.807
Manacus vitellinus	1213.421	13401.482
Apaloderma vittatum	1070.836	11630.634
Picoides pubescens	1167.324	17390.886
Colius striatus	1075.932	11255.604
Buceros rhinoceros silvestris	1065.783	11991.676
Leptosomus discolor	1136.245	12929.351
Merops nubicus	1062.962	14407.227
Melopsittacus undulatus	1117.374	10673.923
Nestor notabilis	1053.56	12028.782
Tyto alba	1120.143	15363.408
Aptenodytes forsteri	1254.347	12600.727
Pygoscelis adeliae	1216.618	12338.533
Fulmarus glacialis	1141.396	12710.934
Gavia stellata	1129.695	11356.752
Calidris pugnax	1229.094	13928.253
Charadrius vociferus	1219.86	13448.531
Balearica regulorum gibbericeps	1127.622	13339.658
Chlamydotis macqueenii	1086.566	14149.161
Eurypyga helias	1088.02	11869.889
Mesitornis unicolor	1087.291	11877.668
Cariama cristata	1132.245	12315.051
Egretta garzetta	1206.502	12810.794
Nipponia nippon	1223.863	13527.542
Pelecanus crispus	1160.925	13425.223
Phalacrocorax carbo	1138.968	11689.371
Phaethon lepturus	1152.959	12047.496
Pterocles gutturalis	1069.324	13638.199
Aquila chrysaetos canadensis	1192.743	13803.408
Haliaeetus albicilla	1133.55	12461.918
Haliaeetus leucocephalus	1178.409	12959.631
Falco cherrug	1174.812	13348.856
Falco peregrinus	1171.973	13438.98
Columba livia	1107.989	14574.958
Opisthocomus hoazin	1203.712	10619.46
Cuculus canorus	1153.894	11227.225
Tauraco erythrolophus	1155.541	12476.188
Antrostomus carolinensis	1119.683	14630.38
Calypte anna	1105.676	15465.746
Chaetura pelagica	1119.188	13743.747
Anas platyrhynchos	1105.052	20184.884
Anser cygnoides domesticus	1119.152	19099.809
Coturnix japonica	927.657	17839.215
Gallus gallus	1230.259	21733.417
Meleagris gallopavo	1128.339	14380.797
Apteryx australis mantelli	1523.973	11691.584
Struthio camelus australis	1225.042	13095.307
Tinamus guttatus	1047.056	15215.984
Acinonyx jubatus	2372.554	25016.655
